
Philippines;primary;Nebraska;EB3;04/15/2003;07/27/2007;07/27/2007;09/06/2007;regular;yes;;filed I-290b twice and one was... more;04/01/2009;approved;08/28/2009
India;primary;Texas;EB1B;;06/05/2009;06/09/2009;06/09/2009;regular;;;;;approved;08/12/2009
South Korea;primary;Texas;EB3;07/24/2008;07/31/2009;08/07/2009;08/07/2009;regular;no;;;;approved;08/25/2009
India;primary;Nebraska;EB2;10/24/2008;06/04/2009;06/04/2009;;regular;;;;;approved;08/28/2009
India;primary;Nebraska;EB3;09/11/2008;06/16/2009;06/16/2009;06/16/2009;regular;no;;;;approved;08/27/2009
India;primary;Texas;EB2;03/18/2005;07/27/2007;07/27/2007;07/27/2007;regular;no;;;;approved;08/18/2009
India;primary;Nebraska;EB3;04/26/2002;02/27/2003;09/28/2005;03/25/2007;regular;no;;;;approved;10/25/2008
India;primary;Texas;EB3;01/10/2003;07/10/2007;07/11/2007;08/12/2007;regular;yes;;;10/20/2008;approved;01/22/2009
India;primary;Nebraska;EB1C;;10/11/2007;10/18/2007;10/18/2007;regular;yes;;;03/23/2009;approved;07/20/2009
India;primary;Nebraska;EB2;;08/08/2007;;;premium;;;;;approved;09/10/2008
Germany;primary;Texas;EB2;;07/06/2009;07/06/2009;;premium;yes;07/14/2009;Additional information about e... more;08/12/2009;denied;08/24/2009
Iran;primary;Nebraska;EB2;05/21/2007;11/18/2006;;;regular;no;;;;approved;06/16/2008
Iran;primary;Nebraska;EB2;05/21/2007;06/21/2007;06/26/2007;06/28/2007;premium;no;;;;approved;07/05/2007
Nepal;primary;Nebraska;EB2;09/28/2008;05/29/2009;06/01/2009;06/01/2009;regular;no;;;;approved;08/26/2009
China;primary;Texas;EB1A;;09/22/2008;;;regular;;;;;pending;
India;primary;Nebraska;EB2;08/13/2008;05/12/2009;05/12/2009;;regular;;;;;approved;08/25/2009
India;primary;Texas;EB1B;;06/25/2009;06/26/2009;06/29/2009;regular;no;;;;approved;08/25/2009
India;primary;Texas;EB3;07/25/2008;08/08/2009;08/11/2009;08/21/2009;regular;no;;;;approved;08/26/2009
India;primary;Nebraska;EB2;06/28/2007;07/31/2007;08/01/2007;09/10/2007;regular;no;;;;approved;04/24/2008
South Korea;primary;Texas;EB3;04/27/2001;02/20/2007;02/20/2007;02/22/2007;regular;no;;;;withdrawn;
China;primary;Nebraska;EB2-NIW;09/18/2008;09/18/2008;09/18/2008;;regular;no;;;;approved;08/25/2009
United Kingdom;primary;Nebraska;EB2;06/03/2009;06/01/2009;06/03/2009;06/03/2009;regular;no;;;;approved;08/26/2009
India;primary;Nebraska;EB3;;07/01/2007;07/05/2007;;regular;no;;;;approved;01/09/2009
India;primary;Texas;EB2;;08/04/2009;08/04/2009;;regular;;;;;approved;08/25/2009
Mexico;primary;Nebraska;EB2;10/14/2008;05/19/2009;05/20/2009;05/21/2009;regular;;;;;approved;08/25/2009
India;primary;Vermont;EB3;11/01/2004;07/15/2005;07/28/2005;01/23/2007;regular;no;;;;approved;01/23/2007
Pakistan;primary;Texas;EB2;07/08/2008;04/28/2009;04/28/2009;04/28/2009;regular;no;;;;pending;
India;primary;Nebraska;EB2;06/27/2008;05/20/2009;;;regular;;;;;approved;08/25/2009
India;primary;Vermont;EB2;12/21/2007;03/02/2008;03/03/2008;03/04/2008;regular;no;;;;approved;08/07/2008
India;primary;Texas;EB1A;;03/05/2009;;03/10/2009;regular;yes;07/10/2009;Notice of intent to deny stati... more;08/07/2009;approved;08/18/2009
Romania;primary;Nebraska;EB2;09/25/2007;03/04/2008;03/04/2008;12/24/2008;regular;yes;10/01/2008;Employer Documents tax incompl... more;10/19/2008;approved;08/06/2009
India;primary;Nebraska;EB1C;06/02/2009;06/01/2009;06/02/2009;;regular;no;;;;approved;08/24/2009
Uzbekistan;primary;Nebraska;EB3;01/03/2007;04/11/2006;;;regular;;;;;approved;09/23/2008
India;primary;Nebraska;EB1C;;03/25/2009;03/25/2009;03/25/2009;regular;no;;;;approved;08/24/2009
Philippines;primary;Nebraska;EB2;;05/22/2009;05/26/2009;;regular;no;;;;approved;08/20/2009
India;primary;Nebraska;EB2;06/27/2008;05/01/2009;05/04/2009;;regular;;;;;approved;07/29/2009
India;primary;Nebraska;EB2;;07/23/2009;;;premium;yes;08/14/2009;;;approved;08/24/2009
India;primary;Texas;EB2;09/28/2005;05/12/2009;05/12/2009;05/12/2009;regular;no;;;;approved;06/15/2009
India;primary;Nebraska;EB3;08/20/2008;05/19/2008;;;regular;;;;;approved;08/06/2009
India;primary;Nebraska;EB3;03/06/2003;08/15/2007;08/16/2007;09/28/2007;regular;yes;;;02/18/2009;approved;02/24/2009
India;primary;Nebraska;EB2;07/10/2008;04/10/2009;04/10/2009;04/10/2009;regular;yes;07/15/2009;asking from letters from emplo... more;08/14/2009;approved;08/20/2009
India;primary;Texas;EB2;11/02/2004;08/14/2007;08/14/2007;09/27/2007;regular;no;;;;approved;07/29/2009
India;primary;Texas;EB1A;;08/10/2009;;;premium;no;;;;approved;08/17/2009
China;primary;Texas;EB1B;;08/26/2008;08/28/2008;08/28/2008;regular;no;;;;approved;08/20/2009
Lithuania;dependent;Texas;EB2;09/15/2008;08/11/2009;08/12/2009;;premium;no;;;;approved;08/18/2009
India;primary;Nebraska;EB1A;05/11/2009;05/11/2009;05/11/2009;05/11/2009;premium;yes;07/07/2009;Further evidence about citatio... more;08/14/2009;approved;08/19/2009
Philippines;primary;Nebraska;EB3;08/01/2006;08/02/2006;08/02/2006;09/14/2006;premium;;;;;pending;
India;primary;Texas;EB1C;;07/27/2007;07/29/2007;07/31/2007;regular;yes;;;06/15/2008;denied;07/27/2009
India;primary;Nebraska;EB1C;03/04/2009;03/03/2009;03/04/2009;03/04/2009;regular;no;;;;approved;08/21/2009
China;primary;Nebraska;EB1B;;01/24/2009;01/26/2009;01/26/2009;regular;no;;;;approved;08/21/2009
India;primary;Nebraska;EB2;10/17/2008;05/28/2009;05/28/2009;;regular;;;;;approved;08/21/2009
Argentina;primary;Texas;EB3;04/28/2008;05/28/2008;;;regular;;;;;approved;01/10/2009
India;primary;Texas;EB2;09/17/2007;07/13/2009;07/13/2009;07/17/2009;premium;yes;07/15/2009;1. audited financial statement... more;08/15/2009;denied;08/17/2009
Romania;primary;Texas;EB2;05/30/2007;10/04/2007;10/08/2007;;regular;no;;;;approved;07/07/2009
Ukraine;primary;Texas;EB3;01/16/2004;07/04/2007;07/11/2007;08/01/2007;regular;yes;03/04/2008;RFE on: (1) experience letter;... more;04/04/2008;approved;08/20/2009
France;primary;Texas;EB2;08/20/2008;06/18/2009;;;regular;no;;;;pending;
China;primary;Nebraska;EB1B;;10/02/2008;;;regular;yes;06/05/2009;Ask for evidence for every cri... more;07/20/2009;approved;08/19/2009
China;primary;Nebraska;EB1B;;03/18/2009;03/19/2009;03/19/2009;regular;;;;;approved;08/17/2009
India;primary;Texas;EB3;08/01/2001;08/01/2007;08/02/2007;10/05/2007;regular;no;;;;approved;04/14/2009
India;primary;Nebraska;EB2;09/11/2008;08/15/2009;08/18/2009;08/19/2009;premium;no;;;;approved;08/20/2009
